# 从 PCL 源码抽取的矢量图标索引(File<TAB>名称<TAB>来源文件<TAB>样式<TAB>路径长度)
shapecheck.svg	ShapeCheck	Plain Craft Launcher 2\Controls\MyCheckBox.xaml	fill	48
pathpickaxe.svg	PathPickaxe	Plain Craft Launcher 2\Controls\MyLoading.xaml	stroke	444
icon_01389e71.svg	(无名)	Plain Craft Launcher 2\Controls\MySearchBox.xaml	fill	691
pathversion.svg	PathVersion	Plain Craft Launcher 2\Pages\PageDownload\Resource\MyResourceItem.xaml	fill	916
pathdownload.svg	PathDownload	Plain Craft Launcher 2\Pages\PageDownload\Resource\MyResourceItem.xaml	fill	413
pathtime.svg	PathTime	Plain Craft Launcher 2\Pages\PageDownload\Resource\MyResourceItem.xaml	fill	220
pathsource.svg	PathSource	Plain Craft Launcher 2\Pages\PageDownload\Resource\MyResourceItem.xaml	fill	753
btnpagefirst.svg	BtnPageFirst	Plain Craft Launcher 2\Pages\PageDownload\Resource\PageResource.xaml	fill	570
btnpageleft.svg	BtnPageLeft	Plain Craft Launcher 2\Pages\PageDownload\Resource\PageResource.xaml	fill	311
btnpageright.svg	BtnPageRight	Plain Craft Launcher 2\Pages\PageDownload\Resource\PageResource.xaml	fill	307
btnback.svg	BtnBack	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadInstall.xaml	fill	263
icon_5b2ad21b.svg	(无名)	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadInstall.xaml	fill	241
refresh.svg	刷新	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadLeft.xaml	fill	643
mod.svg	Mod	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadLeft.xaml	fill	1265
modpack.svg	整合包	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadLeft.xaml	fill	422
datapack.svg	数据包	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadLeft.xaml	fill	476
resourcepack.svg	资源包	Plain Craft Launcher 2\Pages\PageDownload\PageDownloadLeft.xaml	fill	654
